epoch,accuracy,aupr,brier_score,csi05,csi10,csi15,csi20,csi25,csi30,csi35,csi40,csi45,csi50,csi55,csi60,csi65,csi70,csi75,csi80,csi85,csi90,csi95,far05,far10,far15,far20,far25,far30,far35,far40,far45,far50,far55,far60,far65,far70,far75,far80,far85,far90,far95,loss,lr,pod05,pod10,pod15,pod20,pod25,pod30,pod35,pod40,pod45,pod50,pod55,pod60,pod65,pod70,pod75,pod80,pod85,pod90,pod95,time,val_accuracy,val_aupr,val_brier_score,val_csi05,val_csi10,val_csi15,val_csi20,val_csi25,val_csi30,val_csi35,val_csi40,val_csi45,val_csi50,val_csi55,val_csi60,val_csi65,val_csi70,val_csi75,val_csi80,val_csi85,val_csi90,val_csi95,val_far05,val_far10,val_far15,val_far20,val_far25,val_far30,val_far35,val_far40,val_far45,val_far50,val_far55,val_far60,val_far65,val_far70,val_far75,val_far80,val_far85,val_far90,val_far95,val_loss,val_pod05,val_pod10,val_pod15,val_pod20,val_pod25,val_pod30,val_pod35,val_pod40,val_pod45,val_pod50,val_pod55,val_pod60,val_pod65,val_pod70,val_pod75,val_pod80,val_pod85,val_pod90,val_pod95
0,0.5407181978225708,0.0365494079887867,0.24956314265727997,0.0508294440805912,0.0508294440805912,0.0508294440805912,0.0508294440805912,0.0508294440805912,0.05082913488149643,0.05082189664244652,0.05039982497692108,0.04338456690311432,0.022089548408985138,0.0034623565152287483,0.0005650540115311742,1.9817150587186916e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9491704702377319,0.9491704702377319,0.9491704702377319,0.9491704702377319,0.9491704702377319,0.9491707682609558,0.9491768479347229,0.9495524168014526,0.9562034010887146,0.9643120169639587,0.6143398880958557,0.25218665599823,0.0922851487994194,0.023255813866853714,0.023255813866853714,0.0,0.0,0.0,0.0,0.6922754645347595,1e-04,1.0,1.0,1.0,1.0,1.0,0.9999927878379822,0.9995661973953247,0.9875499606132507,0.8217466473579407,0.28852397203445435,0.018736468628048897,0.0010631420882418752,1.987209316212102e-06,0.0,0.0,0.0,0.0,0.0,0.0,79.02219414710999,0.947212815284729,0.03459211066365242,0.2139483243227005,0.052186980843544006,0.052186980843544006,0.052186980843544006,0.052186980843544006,0.05218696594238281,0.05218593031167984,0.05200013518333435,0.04625798761844635,0.02922508865594864,0.00037895672721788287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478129148483276,0.9478129148483276,0.9478129148483276,0.9478129148483276,0.9478129744529724,0.9478135108947754,0.9479760527610779,0.9533040523529053,0.9691381454467773,0.9757067561149597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6205974221229553,1.0,1.0,1.0,1.0,0.9999997615814209,0.9998015761375427,0.9908071756362915,0.8428453803062439,0.40358325839042664,0.00040206004632636905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9486789107322693,0.042062338441610336,0.14435401558876038,0.05052414536476135,0.04505235701799393,0.041994545608758926,0.04013185203075409,0.0381070040166378,0.03462722525000572,0.03150225058197975,0.024064183235168457,0.014866754412651062,0.00023016700288280845,8.866177267918829e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9481377601623535,0.9530990123748779,0.9558080434799194,0.9570287466049194,0.9573867917060852,0.9578308463096619,0.9579269886016846,0.963045060634613,0.9714078903198242,0.9234594106674194,0.29392239451408386,0.06976744532585144,0.023255813866853714,0.0,0.0,0.0,0.0,0.0,0.0,0.464987188577652,1e-04,0.8267043232917786,0.7490252256393433,0.7066489458084106,0.6750491261482239,0.6354374289512634,0.5842730402946472,0.509147047996521,0.3494012653827667,0.13923394680023193,0.00023500603856518865,8.89112925506197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.477243423461914,0.9479341506958008,0.048181433230638504,0.057093728333711624,0.044506434351205826,0.035550300031900406,0.027118410915136337,0.016693513840436935,0.006241589784622192,0.003161338623613119,0.0026058205403387547,0.0018274751491844654,0.0008446077699773014,8.790837455308065e-05,1.0233010470983572e-05,1.123060314967006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519553780555725,0.9584308862686157,0.9645755887031555,0.9737131595611572,0.9825285077095032,0.9767221212387085,0.9735074639320374,0.9763673543930054,0.9804964065551758,0.9730545878410339,0.7789726853370667,0.023255812004208565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26231706142425537,0.4172220826148987,0.255531370639801,0.15597759187221527,0.07275790721178055,0.014517965726554394,0.004026035312563181,0.0030561620369553566,0.0020645903423428535,0.0009084045886993408,8.82634922163561e-05,1.0234559340460692e-05,1.123060314967006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9489750862121582,0.09045084565877914,0.051848556846380234,0.08541133254766464,0.09913690388202667,0.09620532393455505,0.0818815678358078,0.06453343480825424,0.033731669187545776,0.007512990850955248,0.0025784745812416077,0.0006940198945812881,7.205286692624213e-06,1.5376049589121976e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095116257667542,0.8888084888458252,0.8843686580657959,0.8926064968109131,0.9020562171936035,0.927463710308075,0.9577006101608276,0.9526398181915283,0.937283992767334,0.19901929795742035,0.04561717435717583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21558214724063873,1e-04,0.6838016510009766,0.5385249257087708,0.41878455877304077,0.2953658699989319,0.1866670697927475,0.07283889502286911,0.01036838535219431,0.0027742518577724695,0.00070867472095415,7.2231969170388766e-06,1.5378591911030526e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.511399269104004,0.9480988383293152,0.08695607632398605,0.061239197850227356,0.08572786301374435,0.09312533587217331,0.09703311324119568,0.09532270580530167,0.08353076130151749,0.06209368631243706,0.03399231657385826,0.002499236958101392,0.00042029726319015026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9123582243919373,0.9030974507331848,0.896943211555481,0.8956308364868164,0.9031788110733032,0.9197190999984741,0.9410827159881592,0.9677380323410034,0.9750517010688782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2277405709028244,0.8292816281318665,0.7477171421051025,0.667497456073761,0.5704898834228516,0.42791056632995605,0.2548965513706207,0.0943729355931282,0.002892877906560898,0.00043465447379276156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9489850997924805,0.16311229765415192,0.04649337753653526,0.12960904836654663,0.14890719950199127,0.15695923566818237,0.15707431733608246,0.15008696913719177,0.1258796900510788,0.07625825703144073,0.008403717540204525,0.0005687432130798697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8643342852592468,0.8374090790748596,0.8193157315254211,0.8081580996513367,0.8019100427627563,0.8112468123435974,0.8458430171012878,0.9103246927261353,0.9098916053771973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17363637685775757,1e-04,0.7593719959259033,0.654207706451416,0.5686876773834229,0.48940739035606384,0.4060204029083252,0.29205095767974854,0.14241522550582886,0.010287863202393055,0.0005727089010179043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.51449251174927,0.9480988383293152,0.11533351987600327,0.056562889367341995,0.09144295006990433,0.10153982043266296,0.10813204944133759,0.1129901111125946,0.11553476005792618,0.10663983970880508,0.04469802603125572,0.0026579347904771566,0.0003346950688865036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9069768190383911,0.8949549198150635,0.8859334588050842,0.8774380087852478,0.868504524230957,0.8643901944160461,0.9004703164100647,0.9488711953163147,0.9700900316238403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20855161547660828,0.8580211400985718,0.7726108431816101,0.7006132006645203,0.6198934316635132,0.5194101333618164,0.367612361907959,0.09017045795917511,0.0028837413992732763,0.0003423011803533882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9489853978157043,0.20370787382125854,0.0437585823237896,0.140912726521492,0.16083505749702454,0.17083577811717987,0.17482325434684753,0.16732586920261383,0.13819944858551025,0.06046873331069946,0.0073511539958417416,0.00035895657492801547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8523804545402527,0.823949933052063,0.803152322769165,0.7831529378890991,0.764874279499054,0.7570850253105164,0.8069098591804504,0.8422995209693909,0.8868375420570374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616392433643341,1e-04,0.7720573544502258,0.6572625637054443,0.5684083700180054,0.480207622051239,0.37884533405303955,0.2591552436351776,0.08810100704431534,0.007835354655981064,0.0003603738732635975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.45150327682495,0.9480988383293152,0.17037267982959747,0.04992665722966194,0.10272130370140076,0.11743956804275513,0.12966054677963257,0.1406840682029724,0.14935928583145142,0.14201796054840088,0.0910802111029625,0.012262909673154354,0.0004965788684785366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953438401222229,0.8779009580612183,0.8616354465484619,0.8435276746749878,0.8172327280044556,0.7980730533599854,0.8010975122451782,0.8288174271583557,0.9260261058807373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1849231868982315,0.8621006608009338,0.7762372493743896,0.6980305314064026,0.6098759174346924,0.4786604940891266,0.34675130248069763,0.15351970493793488,0.013227772898972034,0.0005024066776968539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9489850997924805,0.27273327112197876,0.04086890444159508,0.16307353973388672,0.19103100895881653,0.2107619196176529,0.22543390095233917,0.23246429860591888,0.21516793966293335,0.15041963756084442,0.046195872128009796,0.0029885629191994667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8307904005050659,0.7949662208557129,0.7647512555122375,0.7347403764724731,0.7030260562896729,0.675594687461853,0.6720321774482727,0.687370777130127,0.6669927835464478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692308008670807,1e-04,0.8298768997192383,0.7444443702697754,0.6755661368370056,0.6056347489356995,0.5219151377677917,0.39785540103912354,0.2254960685968399,0.05329145863652229,0.0030181643087416887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.375171184539795,0.9480988383293152,0.23288540542125702,0.0465397946536541,0.11352631449699402,0.1406436413526535,0.16341553628444672,0.1810496300458908,0.1932644098997116,0.19727414846420288,0.18122734129428864,0.09425471723079681,0.009736528620123863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8853302001953125,0.8555593490600586,0.828069269657135,0.8031250834465027,0.7795544862747192,0.758448600769043,0.7428613305091858,0.7236790657043457,0.664533793926239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16706916689872742,0.9221828579902649,0.8499643802642822,0.7752454876899719,0.7019494771957397,0.6249172687530518,0.5374157428741455,0.39657849073410034,0.1284402459859848,0.009949921630322933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.9489352703094482,0.35529688000679016,0.03741499409079552,0.20851536095142365,0.24740904569625854,0.2724960446357727,0.2871359884738922,0.29257699847221375,0.2874676287174225,0.2583652436733246,0.1833697110414505,0.07765839993953705,0.027053315192461014,0.01008878368884325,0.0023010363802313805,0.00040577564504928887,4.125473788008094e-05,1.435780404790421e-06,0.0,0.0,0.0,0.0,0.7846832871437073,0.7360489368438721,0.6978806257247925,0.666343629360199,0.6392011046409607,0.6147112250328064,0.5955194234848022,0.579235315322876,0.5386893153190613,0.15422983467578888,0.10796567052602768,0.08328261226415634,0.06342199444770813,0.03160405158996582,0.0,0.0,0.0,0.0,0.0,0.12897151708602905,1e-04,0.8709538578987122,0.8005238771438599,0.7391979694366455,0.6791202425956726,0.616280734539032,0.5432044863700867,0.4322667717933655,0.26302093267440796,0.10121163725852966,0.03142619505524635,0.010709399357438087,0.0023441649973392487,0.0004068997222930193,4.1256342228734866e-05,1.435780404790421e-06,0.0,0.0,0.0,0.0,43.57237243652344,0.9482012391090393,0.3207773268222809,0.04204132780432701,0.14297881722450256,0.18419475853443146,0.2132522612810135,0.23320607841014862,0.24544788897037506,0.2513139843940735,0.25061437487602234,0.23492789268493652,0.09873954951763153,0.004152423702180386,4.513072781264782e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.854927122592926,0.8091112971305847,0.7733830213546753,0.7451268434524536,0.7229332327842712,0.704322874546051,0.6863902807235718,0.6578788757324219,0.5982469320297241,0.35327672958374023,0.06395348161458969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14731736481189728,0.9111247658729553,0.8432252407073975,0.7844336032867432,0.7342278957366943,0.6856646537780762,0.6315059065818787,0.562476634979248,0.4351406395435333,0.12056674808263779,0.004163464531302452,4.513084149948554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.951551079750061,0.45155298709869385,0.03454078361392021,0.23887589573860168,0.2832907736301422,0.30921027064323425,0.32433226704597473,0.3308330476284027,0.3305359184741974,0.32215631008148193,0.2982364594936371,0.232160747051239,0.1496584117412567,0.0890752524137497,0.0494263656437397,0.024465730413794518,0.010131768882274628,0.003578576259315014,0.0008149957284331322,6.777580711059272e-05,1.5556561550056358e-07,0.0,0.7515667676925659,0.6945101022720337,0.6539391875267029,0.6217263340950012,0.5945943593978882,0.5684133768081665,0.5399013161659241,0.5056081414222717,0.46629804372787476,0.3789660334587097,0.24349349737167358,0.1721303015947342,0.13602828979492188,0.06857911497354507,0.03756136819720268,0.024440066888928413,0.014298743568360806,0.0,0.0,0.11723628640174866,1e-04,0.8941017985343933,0.8332708477973938,0.7818771004676819,0.7323010563850403,0.6802597641944885,0.6214257478713989,0.5506313443183899,0.4538276493549347,0.3128986060619354,0.18535278737545013,0.10338340699672699,0.054317645728588104,0.025806596502661705,0.010387519374489784,0.0036051806528121233,0.0008162123267538846,6.778773240512237e-05,1.5556561550056358e-07,0.0,43.495115518569946,0.9469974040985107,0.39400792121887207,0.03895591199398041,0.18576833605766296,0.23058150708675385,0.25697287917137146,0.26915156841278076,0.2756460905075073,0.2776985466480255,0.27442866563796997,0.261835515499115,0.23841771483421326,0.19899024069309235,0.14016366004943848,0.08414416760206223,0.04397137835621834,0.02023693360388279,0.0073054758831858635,0.0014501543482765555,7.96037566033192e-05,0.0,0.0,0.8084074258804321,0.7539570927619934,0.7155698537826538,0.6907711625099182,0.6692960858345032,0.6477850675582886,0.6242212057113647,0.5956321358680725,0.5603623986244202,0.5105123519897461,0.437455415725708,0.33904317021369934,0.2567620873451233,0.20777516067028046,0.1345633566379547,0.05811774358153343,0.007925343699753284,0.0,0.0,0.13566194474697113,0.8591936826705933,0.7833186388015747,0.7265007495880127,0.6765673756599426,0.6275654435157776,0.574349582195282,0.5134559273719788,0.4374145269393921,0.3548620045185089,0.2618089020252228,0.164485901594162,0.09117546677589417,0.04584762454032898,0.02068275772035122,0.007367798127233982,0.0014517877716571093,7.960489165270701e-05,0.0,0.0
8,0.9502048492431641,0.42140671610832214,0.03539378568530083,0.23562012612819672,0.27556848526000977,0.2975288927555084,0.307596892118454,0.30994707345962524,0.3045382797718048,0.2857571840286255,0.24057012796401978,0.16874457895755768,0.09388893842697144,0.05152502283453941,0.03713379427790642,0.025186017155647278,0.015413844026625156,0.008458527736365795,0.004265169613063335,0.0019633169285953045,0.0006650076247751713,8.873422484612092e-05,0.7533787488937378,0.697318434715271,0.6549387574195862,0.6157912015914917,0.5842221975326538,0.5533167123794556,0.5240465402603149,0.48538535833358765,0.43720418214797974,0.3330608010292053,0.11636888980865479,0.07927306741476059,0.06864500045776367,0.05606168881058693,0.041506487876176834,0.02626076154410839,0.01300814002752304,0.004472412168979645,0.0007856693700887263,0.12134965509176254,1e-04,0.8721603751182556,0.8074822425842285,0.7517691254615784,0.6947471499443054,0.6336873769760132,0.5620836019515991,0.4779525101184845,0.3657589256763458,0.23027470707893372,0.11824963986873627,0.0648774728178978,0.044497959315776825,0.029030686244368553,0.01720501109957695,0.00910920463502407,0.004440441261976957,0.0019930668640881777,0.0006674738833680749,8.874607010511681e-05,43.2833411693573,0.9491594433784485,0.38099047541618347,0.039131470024585724,0.1563132405281067,0.20648860931396484,0.23702481389045715,0.25471577048301697,0.2659306228160858,0.2704930305480957,0.259190171957016,0.21953906118869781,0.13749437034130096,0.04952532798051834,0.00815526396036148,0.0002239419991383329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8411365747451782,0.7830093502998352,0.7405182123184204,0.7073974609375,0.6748212575912476,0.6366426944732666,0.5966158509254456,0.5472146272659302,0.4569285213947296,0.39307901263237,0.24339911341667175,0.103584423661232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13812923431396484,0.9076212644577026,0.8127799034118652,0.7409968972206116,0.6770457625389099,0.6118801236152649,0.5346735119819641,0.43924447894096375,0.3100109398365021,0.15810807049274445,0.0514887310564518,0.008202302269637585,0.00022397284919861704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9558737874031067,0.5330866575241089,0.03190959617495537,0.26109570264816284,0.30934426188468933,0.33421406149864197,0.3482831120491028,0.35725176334381104,0.3597045838832855,0.3548433482646942,0.33959439396858215,0.3126790225505829,0.2701554596424103,0.20560333132743835,0.13681571185588837,0.08482421934604645,0.05198518559336662,0.0297772828489542,0.016130318865180016,0.007593140937387943,0.002811978803947568,0.00037332013016566634,0.7316636443138123,0.671925961971283,0.6325733065605164,0.6004892587661743,0.5690560340881348,0.5368022322654724,0.5016584396362305,0.46329018473625183,0.422826886177063,0.38081085681915283,0.31667497754096985,0.21264344453811646,0.13967865705490112,0.08577132225036621,0.04760972782969475,0.019998488947749138,0.012347553856670856,0.006449949461966753,0.006644518580287695,0.106802798807621,1e-04,0.9111154079437256,0.8508349657058716,0.7980184555053711,0.745309054851532,0.6913286447525024,0.6307325959205627,0.5638523697853088,0.49101293087005615,0.41763824224472046,0.33848297595977783,0.24263213574886322,0.15325582027435303,0.09174677729606628,0.0550045371055603,0.031102269887924194,0.016672564670443535,0.007734815590083599,0.002819702262058854,0.00037332018837332726,43.3134446144104,0.939932107925415,0.41641369462013245,0.04162359610199928,0.17723995447158813,0.22631953656673431,0.2528074085712433,0.2692427337169647,0.2805537283420563,0.28765279054641724,0.2892855405807495,0.2858158051967621,0.2789131999015808,0.2709313631057739,0.2565857768058777,0.23383331298828125,0.20331865549087524,0.16846920549869537,0.13095520436763763,0.09446030855178833,0.058699458837509155,0.026624850928783417,0.004370390437543392,0.8191702365875244,0.7626607418060303,0.7272921204566956,0.7005245089530945,0.6761366128921509,0.6517950296401978,0.6289472579956055,0.6076809167861938,0.5903511643409729,0.5726123452186584,0.5478844046592712,0.5166812539100647,0.4774889051914215,0.435394823551178,0.3849042057991028,0.3191412687301636,0.24412201344966888,0.15086853504180908,0.04643778130412102,0.13980281352996826,0.8961772322654724,0.8269204497337341,0.7749315500259399,0.728156328201294,0.6801907420158386,0.6288992166519165,0.5751321315765381,0.522712767124176,0.4781668782234192,0.43723899126052856,0.38458141684532166,0.3245297372341156,0.2618529498577118,0.20336712896823883,0.14945755898952484,0.1026841402053833,0.06130959093570709,0.02703426592051983,0.004378122743219137
